query_id,genre,country,runtime,year,score
q0,,,,2003.0,1.0
q1,,,,1998.0,
q2,,,,1997.0,5.0
q3,,,85.0,,
q4,,,121.0,,
q5,Comedy,,,,
q6,Adventure,,,2012.0,2.0
q7,Sci-Fi,,,,
q8,,,,,0.0
q9,,,196.0,2015.0,
q10,,Hungary,,,
q11,,,143.0,,4.0
q12,Action,France,137.0,,
q13,Western,,202.0,,
q14,,Malta,357.0,,
q15,Horror,,100.0,,
q16,,,,,0.0
q17,,,,1987.0,4.0
q18,,Republic of Macedonia,,,
q19,,,,1986.0,
q20,,,,1998.0,
q21,,,,1991.0,
q22,,,196.0,,
q23,Thriller,,76.0,,
q24,,,,1999.0,
q25,,,,,2.0
q26,Animation,,,,
q27,,Hong Kong,,,0.0
q28,Sci-Fi,,,,
q29,,Canada,63.0,2002.0,0.0
q30,,,,2012.0,1.0
q31,,Taiwan,,1996.0,
q32,,,,2008.0,5.0
q33,Family,,,,
q34,,Colombia,,1995.0,
q35,,,219.0,,
q36,,,95.0,2003.0,
q37,Sci-Fi,,,,
q38,,Austria,,,
q39,,Vietnam,,,3.0
q40,,,74.0,,
q41,Biography,,,,
q42,,,,,4.0
q43,,Jamaica,,,
q44,,,,,3.0
q45,Sport,,,,3.0
q46,,,,,5.0
q47,Crime,Austria,,,
q48,,Hong Kong,87.0,,1.0
q49,,,183.0,,
q50,,,88.0,,
q51,,Soviet Union,,,
q52,,,87.0,,
q53,,,114.0,,
q54,,,224.0,,
q55,,,,,5.0
q56,Animation,Lebanon,,2002.0,
q57,Animation,,,,
q58,,,,2008.0,4.0
q59,,,117.0,,
q60,,,,2002.0,
q61,,,,,3.0
q62,History,,,,5.0
q63,Musical,,,,0.0
q64,,,,2003.0,
q65,,,194.0,,1.0
q66,,Greece,,,
q67,,Panama,,2001.0,
q68,,,,,5.0
q69,Fantasy,,175.0,1996.0,
q70,,,,1993.0,
q71,Action,,84.0,,
q72,,,,2017.0,
q73,,,85.0,,
q74,Sport,,,2019.0,
q75,,Brazil,,,
q76,,,105.0,,
q77,,Austria,76.0,1986.0,0.0
q78,,Lebanon,,,
q79,,Belgium,,,
q80,,Taiwan,,,
q81,,,,1989.0,
q82,Biography,,,,
q83,,,,2004.0,
q84,History,Greece,,,
q85,,,,1993.0,
q86,,Philippines,,,
q87,Action,,,,
q88,Crime,Romania,,,
q89,,China,,,4.0
q90,Sport,,,,5.0
q91,Animation,Norway,,2010.0,
q92,,,224.0,,
q93,,,115.0,,
q94,Action,,,,4.0
q95,Fantasy,,210.0,,0.0
q96,,,80.0,1999.0,
q97,,,,2009.0,
q98,Drama,India,,2017.0,
q99,,,139.0,,
