,bfe28199-ae60-41ee-8296-6c0ad1a5f237,e51aba7d-76b3-4781-852f-fea474674e34,fd9a7eab-529f-427b-8cde-49a62263833f,425b92af-8faf-4e4a-bda3-26c1a5d3d9bc
The Shining,55.0,55.0,55.0,55.0
The Blue Lagoon,77.0,73.0,76.0,56.0
Star Wars: Episode V - The Empire Strikes Back,88.0,72.0,72.0,55.0
Airplane!,56.0,56.0,56.0,56.0
Caddyshack,56.0,56.0,56.0,56.0
Friday the 13th,77.0,73.0,76.0,56.0
The Blues Brothers,88.0,72.0,72.0,55.0
Raging Bull,79.0,76.0,63.0,55.0
Superman II,77.0,73.0,73.0,56.0
The Long Riders,79.0,76.0,63.0,55.0
Any Which Way You Can,77.0,73.0,73.0,56.0
The Gods Must Be Crazy,55.0,55.0,55.0,55.0
Popeye,77.0,73.0,72.0,55.0
Ordinary People,55.0,55.0,55.0,55.0
Dressed to Kill,55.0,55.0,55.0,55.0
Somewhere in Time,55.0,55.0,55.0,55.0
Fame,77.0,73.0,76.0,56.0
9 to 5,77.0,73.0,76.0,56.0
The Fog,77.0,76.0,76.0,56.0
Stir Crazy,77.0,73.0,76.0,56.0
Cruising,77.0,73.0,76.0,56.0
Heaven's Gate,77.0,64.0,76.0,56.0
The Final Countdown,77.0,73.0,73.0,56.0
Xanadu,77.0,73.0,76.0,56.0
Urban Cowboy,77.0,73.0,76.0,56.0
Altered States,77.0,73.0,76.0,56.0
Little Darlings,77.0,73.0,76.0,56.0
Raise the Titanic,73.0,76.0,72.0,73.0
Brubaker,55.0,55.0,55.0,55.0
American Gigolo,77.0,73.0,76.0,58.0
My Bodyguard,56.0,56.0,56.0,56.0
Prom Night,77.0,76.0,76.0,56.0
Smokey and the Bandit II,77.0,73.0,73.0,56.0
Cattle Annie and Little Britches,77.0,73.0,76.0,56.0
Seems Like Old Times,77.0,73.0,76.0,56.0
Private Benjamin,77.0,73.0,76.0,56.0
The Hollywood Knights,77.0,73.0,76.0,56.0
Motel Hell,77.0,73.0,76.0,56.0
The Jazz Singer,77.0,73.0,76.0,56.0
