id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,imdb_votes
ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,48,['documentation'],['US'],,
tm84618,Taxi Driver,MOVIE,1976,R,113,"['crime', 'drama']",['US'],8.3,795222
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['comedy', 'fantasy']",['GB'],8.2,530877
tm70993,Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],8,392419
tm190788,The Exorcist,MOVIE,1973,R,133,['horror'],['US'],8.1,391942
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],8.8,72895
tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],7.7,153463
tm185072,My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],7.8,94121
tm98978,The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'drama']",['US'],5.8,69053
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],7.7,111189
tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],7.3,16168
tm44204,The Guns of Navarone,MOVIE,1961,,158,"['war', 'action', 'drama']","['US', 'GB']",7.5,50150
tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],7.6,30277
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],8.1,5141
tm96649,The Long Riders,MOVIE,1980,R,99,"['western', 'crime']",['US'],6.9,11329
tm16479,White Christmas,MOVIE,1954,,115,"['romance', 'comedy', 'music']",['US'],7.5,42373
tm135083,Cairo Station,MOVIE,1958,,77,"['drama', 'crime', 'comedy']",['EG'],7.5,4385
tm14491,The Queen,MOVIE,1968,,68,['documentation'],['US'],7.2,1117
tm89386,Hitler: A Career,MOVIE,1977,PG,150,"['documentation', 'history', 'european']",['DE'],7.5,2416
tm156453,FTA,MOVIE,1972,R,97,"['comedy', 'documentation', 'music']",['US'],6.2,411
tm27298,Saladin the Victorious,MOVIE,1963,,186,"['drama', 'war', 'action', 'history', 'romance']",['EG'],7.6,2470
tm356209,Singapore,MOVIE,1960,,158,"['drama', 'thriller', 'crime']",['IN'],6.4,82
tm204541,Dark Waters,MOVIE,1956,,120,"['drama', 'action', 'romance', 'thriller']",['EG'],6.7,590
tm14350,Alexandria… Why?,MOVIE,1979,,133,['drama'],['EG'],7.2,1689
tm102287,Raya and Sakina,MOVIE,1953,,105,"['drama', 'thriller', 'crime', 'history']",['EG'],6.8,231
tm76557,No Longer Kids,MOVIE,1979,,235,"['comedy', 'drama']",['EG'],9,943
tm71909,Amrapali,MOVIE,1966,,120,['fantasy'],['IN'],6.7,225
tm94651,Dostana,MOVIE,1980,,161,"['drama', 'comedy', 'romance', 'action', 'crime']",['IN'],2.1,25
tm19608,The Blazing Sun,MOVIE,1954,,100,"['romance', 'crime', 'drama']",['EG'],7.4,1219
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],[],8.1,2144
tm90896,The Return of the Prodigal Son,MOVIE,1976,,124,"['drama', 'crime']","['DZ', 'EG']",7.2,768
tm75975,Prince,MOVIE,1969,,152,['romance'],['IN'],6.9,168
tm97793,Lock Your Girls In,MOVIE,1980,,230,['comedy'],['EG'],,
tm85426,The Witness Who Didn't See Anything,MOVIE,1976,,217,['comedy'],['EG'],,
tm188894,The School of Mischief,MOVIE,1973,,251,['comedy'],['EG'],,
tm107372,Manoranjan,MOVIE,1974,,162,"['comedy', 'drama', 'romance']",['IN'],6.5,236
tm200475,"Beirut, Oh Beirut",MOVIE,1975,,110,['drama'],['LB'],6.5,106
tm259855,We Are All for the Fatherland,MOVIE,1979,,74,['documentation'],"['FR', 'LB', 'CA']",6.2,43
tm259684,Whispers,MOVIE,1980,,93,['documentation'],"['FR', 'LB', 'CA']",7.8,75
tm344089,Lal Patthar,MOVIE,1971,,153,['drama'],['IN'],6.2,137
tm358653,Ujala,MOVIE,1959,,142,"['romance', 'crime', 'drama']",['IN'],6.7,78
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,,138,"['drama', 'action', 'romance', 'family', 'fantasy']","['IN', 'SU']",6.2,555
tm10204,Professor,MOVIE,1962,,163,"['romance', 'comedy', 'drama']",['IN'],6.8,285
tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,,135,['romance'],['IN'],4.6,14
tm16812,Bandie,MOVIE,1978,,141,"['drama', 'romance', 'action']",['IN'],4.2,35
tm336403,Khoon Khoon,MOVIE,1973,,131,"['drama', 'crime', 'thriller']",['IN'],5.1,41
tm119776,Top Gun,MOVIE,1986,PG,110,"['drama', 'action']",['US'],6.9,329656
ts20681,Seinfeld,SHOW,1989,TV-PG,24,['comedy'],['US'],8.9,302700
tm111075,Stand by Me,MOVIE,1986,R,89,['drama'],['US'],8.1,392790
tm180542,Once Upon a Time in America,MOVIE,1984,R,229,"['drama', 'crime', 'european']","['US', 'IT']",8.3,342335
tm138875,When Harry Met Sally...,MOVIE,1989,R,96,"['romance', 'comedy', 'drama']",['US'],7.7,212913
tm155792,Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,"['scifi', 'action', 'comedy', 'family']","['HK', 'US']",6.7,92647
tm22327,Full Metal Jacket,MOVIE,1987,R,116,"['drama', 'war']","['GB', 'US']",8.3,723306
tm54450,Christine,MOVIE,1983,R,90,"['horror', 'thriller', 'european']",['US'],6.7,80945
tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,['horror'],['US'],7.4,230543
