name,genre
The Shining,Drama
The Blue Lagoon,Adventure
Star Wars: Episode V - The Empire Strikes Back,Action
Airplane!,Comedy
Caddyshack,Comedy
Friday the 13th,Horror
The Blues Brothers,Action
Raging Bull,Biography
Superman II,Action
The Long Riders,Biography
Any Which Way You Can,Action
The Gods Must Be Crazy,Adventure
Popeye,Adventure
Ordinary People,Drama
Dressed to Kill,Crime
Somewhere in Time,Drama
Fame,Drama
9 to 5,Comedy
The Fog,Horror
Stir Crazy,Comedy
Cruising,Crime
Heaven's Gate,Adventure
The Final Countdown,Action
Xanadu,Fantasy
Urban Cowboy,Drama
Altered States,Horror
Little Darlings,Comedy
Raise the Titanic,Action
Brubaker,Crime
American Gigolo,Crime
My Bodyguard,Comedy
Prom Night,Horror
Smokey and the Bandit II,Action
Cattle Annie and Little Britches,Drama
Seems Like Old Times,Comedy
Private Benjamin,Comedy
The Hollywood Knights,Comedy
Motel Hell,Comedy
The Jazz Singer,Drama
Coal Miner's Daughter,Biography
The Watcher in the Woods,Family
Breaker Morant,Drama
The Stunt Man,Action
Where the Buffalo Roam,Biography
The Awakening,Horror
Cheech and Chong's Next Movie,Comedy
The Island,Action
The Boogey Man,Horror
The Nude Bomb,Action
Lion of the Desert,Biography
Stardust Memories,Comedy
Melvin and Howard,Comedy
Can't Stop the Music,Biography
Bronco Billy,Action
City of Women,Comedy
The Private Eyes,Comedy
When Time Ran Out...,Action
Oh Heavenly Dog,Comedy
The Octagon,Action
Hangar 18,Sci-Fi
Herbie Goes Bananas,Adventure
The Competition,Drama
It's My Turn,Comedy
Honeysuckle Rose,Drama
Resurrection,Drama
Fatso,Comedy
Moscow Does Not Believe in Tears,Comedy
The Fiendish Plot of Dr. Fu Manchu,Comedy
Serial,Comedy
Hero at Large,Comedy
Wholly Moses!,Comedy
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",Animation
In God We Trust (or Gimme That Prime Time Religion),Comedy
Roadie,Comedy
Just Tell Me What You Want,Comedy
The Last Flight of Noah's Ark,Adventure
Little Miss Marker,Comedy
Willie & Phil,Comedy
Babylon,Drama
Windwalker,Adventure
Phobia,Drama
Windows,Drama
Loving Couples,Comedy
The King and the Mockingbird,Animation
"Oh, God! Book II",Comedy
